SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
CC(Cn1cccc(O)c1=S)C(O)CCn1cc(-c2ccc(C#N)cc2N2CCOCC2)nn1,6.900481410059891,125.75306817145523,Tier 1 (<150 nM),-7.22610718389977,3-HPT,True,False,3.9230282857144756,480.5940000000003,2.9772700000000007,2,8,112.36,8,2.836510064322862,7.982745323705708,5.478140391506776,-1.082263913645817,1.422341018553115,-6.248624876116979,-6.095249207225821,0.9774823077827905,False,0.5405405405405406,0.2403846153846154,False,True,27,False,6.247789037426088,True,20,4
CCC(F)(F)C1CN(c2cc(C#N)ccc2C(Cn2cccc(O)c2=S)OCCC#N)CCO1,6.7843249613829295,164.31417802509318,Tier 2 (150-300 nM),-7.501875601171299,3-HPT,True,False,4.28746736414012,488.56000000000034,4.716950000000005,1,7,94.44000000000001,9,1.2109268147830838,6.553956005970058,6.3403776326489805,0.23036895541287183,0.44394732873394904,-6.783083145071641,-6.014650067712696,0.7187924560996573,False,0.4305555555555556,0.21296296296296297,False,True,27,False,6.247789037426088,True,28,2
CNc1c(-c2ccc(C#N)cc2CCOc2ccoc2)nnn1C(OC)n1cccc(O)c1=S,6.7115204515231985,194.3030189715624,Tier 2 (150-300 nM),-7.789068646488509,3-HPT,True,False,4.107906526546182,478.5340000000001,3.9603700000000033,2,9,123.29,9,1.773545781513154,6.704130238826468,6.751819025406206,0.007390212696730458,-0.04029857388300773,-6.850445407130331,-6.328553027714637,0.9386232393581784,False,0.4,0.24,False,True,27,False,6.247789037426088,True,17,4
COC(n1nnc(-c2ccc(C#N)cc2CCCO)c1NC1CC1)n1cccc(O)c1=S,6.673810922968689,211.9283598354428,Tier 2 (150-300 nM),-7.402432459183378,3-HPT,True,False,3.8975340440845265,452.54000000000013,3.203370000000002,3,8,121.14999999999999,9,1.891048738794399,6.43337243000743,6.425434641000781,0.24043849296125863,0.24837628196790718,-6.636959066128025,-6.764669456704517,0.6377630024788603,False,0.3723404255319149,0.23958333333333334,False,True,27,False,6.247789037426088,True,17,4
COc1c(-c2ccc(C#N)cc2N2CCOCC2)nnn1CCCC(N)Cn1cccc(O)c1=S,6.500083351144531,316.1670804264363,Tier 3 (300-500 nM),-7.415209485563402,3-HPT,True,False,3.7659260567856103,495.6090000000002,2.7062700000000013,2,9,127.37999999999998,9,3.043356423146145,6.773538678472036,5.568575234978099,-0.2734553273275049,0.931508116166432,-6.914889711952534,-6.66230181777939,0.500319773610868,False,0.45569620253164556,0.2336448598130841,False,True,27,False,6.247789037426088,True,20,4
N#Cc1ccc(-c2nnn(CC(Cl)CC(N)Cn3cccc(O)c3=S)c2OC2CC2)c(F)c1,6.46586668879805,342.0844327686033,Tier 3 (300-500 nM),-7.567862934624304,3-HPT,True,False,4.261406762635378,488.97600000000017,3.758670000000002,2,7,114.91,9,2.8013128647027545,6.452134906397536,6.21873416149699,0.013731782400514092,0.2471325273010594,-6.917096291979037,-6.745652332635472,0.6507666426452667,False,0.3972602739726027,0.24210526315789474,False,True,27,False,6.247789037426088,True,29,2
CNc1c(-c2ccc(C#N)cc2CCOCC(C)F)nnn1C(OC)n1cccc(O)c1=S,6.45287475624653,352.4725039585848,Tier 3 (300-500 nM),-7.818087975509279,3-HPT,True,False,4.35506395327083,472.5460000000001,3.6629700000000027,2,8,110.14999999999999,10,1.603795875634574,6.41422596074222,6.825407374508285,0.038648795504309774,-0.3725326182617552,-5.710123157300795,-6.184167229083326,1.6339207464259529,False,0.3918918918918919,0.25263157894736843,False,True,27,False,6.247789037426088,True,17,4
N#Cc1cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc(C(=O)Cc2ccccc2F)c1CCCO,7.8558651955195185,13.935893042478199,Tier 1 (<150 nM),-7.0283226992905,Acylurea,False,True,4.022543003659661,492.55100000000033,2.581280000000001,3,6,122.53000000000002,8,2.014288777584775,6.794351128444344,6.080184063789285,1.0615140670751746,1.7756811317302335,-6.185446493202474,-6.352244945245145,0.6760777540453553,False,0.45454545454545453,0.2903225806451613,False,True,24,False,8.481486060122112,False,2,39
CCCCCCCc1c(C#N)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1C(=O)CN,7.669446197646969,21.40690108660655,Tier 1 (<150 nM),-7.663108782830596,Acylurea,True,True,4.034356176202271,453.58700000000033,2.7461800000000007,3,6,128.32000000000002,10,3.295163026144218,6.578517649442399,6.048459389485116,1.0909285482045696,1.6209868081618524,-6.618087749566973,-6.654390356434625,1.008718426395971,False,0.5166666666666667,0.26595744680851063,False,True,24,False,8.481486060122112,False,2,39
CCCCc1c(C#N)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1C(=O)Cc1ccc(O)cc1,7.624631276607831,23.733878971388997,Tier 1 (<150 nM),-7.134335731485598,Acylurea,False,True,3.9699086145193876,488.58800000000036,3.5654800000000026,3,6,122.53000000000002,8,1.582931903478315,6.597120513282857,6.015858968696756,1.0275107633249734,1.6087723079110745,-5.7850469969908245,-6.46515394394048,0.669181787545118,False,0.5,0.27956989247311825,False,True,24,False,8.481486060122112,False,2,39
