SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CNc1ccoc1,8.42754170244733,3.7364424505612557,Tier 1 (<150 nM),-7.110608632594246,Carboxylate,False,False,3.380825362438716,474.4980000000003,4.2842800000000025,2,9,138.34000000000003,10,1.3833226595118073,7.027924057459397,6.808090743364772,1.3996176449879334,1.6194509590825579,-6.944041797168614,-6.675414752564761,0.16656683542563222,False,0.3372093023255814,0.24468085106382978,True,True,148,False,9.69897000433602,False,1,49
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CCCO,8.114495460446129,7.682534859674801,Tier 1 (<150 nM),-7.423808999981276,Carboxylate,False,False,3.1131790532527477,437.4770000000003,3.351680000000002,2,8,133.4,10,1.1603096714815644,6.77527555218519,6.17342236508708,1.3392199082609393,1.941073095359049,-6.790693207847425,-6.860723752449336,0.5630852475319399,False,0.31958762886597936,0.25287356321839083,True,True,148,False,9.69897000433602,False,1,49
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CCCN,8.063793438536925,8.63389099863805,Tier 1 (<150 nM),-7.240831023358605,Carboxylate,False,False,3.1167680392667334,436.49300000000034,3.318080000000001,2,8,139.19000000000003,10,1.1603096714815644,6.905326336072473,6.241311291068904,1.158467102464452,1.8224821474680208,-6.7838017011043625,-6.918400980855533,0.32243004250307195,False,0.33707865168539325,0.25287356321839083,True,True,148,False,9.69897000433602,False,1,49
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CCF,8.034360798977731,9.239302811302027,Tier 1 (<150 nM),-7.645596694163087,Carboxylate,False,False,3.234101182059458,425.44100000000026,3.938780000000003,1,7,113.17000000000002,9,1.0524606030832926,6.849991453307324,6.602989512290061,1.1843693456704072,1.4313712866876704,-6.767175601994958,-6.895708571212069,0.7498881229510186,False,0.36666666666666664,0.2558139534883721,False,True,148,False,9.69897000433602,False,1,49
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)COCF,7.813627084138823,15.35935279045703,Tier 1 (<150 nM),-7.456934176425431,Carboxylate,False,False,3.2921091231828177,441.4400000000003,3.522780000000002,1,8,122.40000000000002,10,1.1603096714815644,6.504885774329631,6.6989990780306385,1.308741309809192,1.1146280061081848,-6.639483841801011,-6.985801312710612,0.47113286371481866,False,0.32432432432432434,0.26744186046511625,True,True,148,False,9.69897000433602,False,1,49
COCCC(=O)c1c(OCC#N)c(Cc2ccncc2)cc(-c2cscn2)c1C(=O)O,7.783775223911735,16.45223014506242,Tier 1 (<150 nM),-7.57068012241511,Carboxylate,False,False,3.1047612210849147,437.47700000000015,3.615680000000002,1,8,122.40000000000002,10,1.1603096714815642,6.6428439912837804,6.276600987717365,1.1409312326279544,1.5071742361943699,-6.656711745457961,-6.611408408479163,0.9139683769571496,False,0.3404255319148936,0.29411764705882354,True,True,148,False,9.69897000433602,False,1,49
N#Cc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CCCO,7.777479011373152,16.69248476867888,Tier 1 (<150 nM),-7.155359598127337,Carboxylate,False,False,3.0488122010709438,407.4510000000003,3.3209800000000027,2,7,124.17,8,1.5111426083852053,6.479172423518558,5.6420418742395695,1.2983065878545936,2.1354371371335823,-6.556782273974051,-6.791058460753451,0.3643011373738858,False,0.34782608695652173,0.25675675675675674,True,True,148,False,9.69897000433602,False,1,49
COCC(=O)c1c(OCC#N)c(Cc2ccnc(C(C)(C)C)c2)cc(-c2cscn2)c1C(=O)O,7.774330743743922,16.813930822020275,Tier 1 (<150 nM),-7.519598722004119,Carboxylate,False,False,3.269650486858369,479.5580000000002,4.523080000000004,1,8,122.40000000000002,9,1.326341069271643,6.42175544179176,6.7039039762918895,1.3525753019521627,1.070426767452033,-6.883182395656871,-6.795867579193757,0.6364163263472475,False,0.35802469135802467,0.24468085106382978,False,True,148,False,9.69897000433602,False,1,49
CCCC(=O)c1c(OCC#N)c(Cc2ccncc2)cc(-c2cscn2)c1C(=O)O,7.76084274529846,17.344319085601537,Tier 1 (<150 nM),-7.49100753355054,Carboxylate,False,False,3.058988059887513,421.4780000000001,4.379280000000003,1,7,113.17,9,1.0524606030832921,6.695332102077098,6.191939905715775,1.0655106432213612,1.5689028395826847,-6.5183822156615445,-6.962371343598418,0.5286361899521221,False,0.3516483516483517,0.27380952380952384,False,True,148,False,9.69897000433602,False,1,49
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)COF,7.7598735420694265,17.38306915525748,Tier 1 (<150 nM),-7.586291441776198,Carboxylate,False,False,3.3174729467653403,427.41300000000024,3.4802800000000023,1,8,122.40000000000002,9,1.0524606030832926,6.477249930799139,6.996230997390659,1.2826236112702878,0.7636425446787678,-6.827386191461694,-6.805815218374609,0.7589052503145037,False,0.3382352941176471,0.26506024096385544,True,True,148,False,9.69897000433602,False,1,49
