SMILES,zbg_tag,cluster_id,cluster_size,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,sa_score,l_shape_2d_proxy,MW,cLogP,HBD,HBA,TPSA,RotB,pains_brenk_flagged,soft_metabolic_liability,zbg_precedent_count,zbg_low_precedent,exceeds_real_precedent,ic50_model_low_confidence,dock_model_low_confidence,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity
N#CCc1cc(C#N)ccc1Cc1cc(Cn2cccc(O)c2=S)cc(N2CCOC(N)C2)c1,3-HPT,2,40,7.9365136891795816,11.574075494516299,Tier 1 (<150 nM),-7.715850800408756,3.7522502220259604,1.4906865243321856,471.58600000000024,3.621450000000002,2,7,111.22999999999999,6,True,False,27,False,True,False,True,7.034555674663911,6.0490727766356,0.9019580145156709,1.8874409125439815,-6.916606549944305,-6.0759958035286905,0.7992442504644508
N#Cc1ccc(Cc2cc(N3CCOC(F)C3)cc(C(N)(Cl)n3cccc(O)c3=S)c2)c(N)c1,3-HPT,15,2,7.70936763640039,19.526857799080314,Tier 1 (<150 nM),-7.18812421734387,4.230480967378987,1.7481002843842335,499.9990000000001,3.956170000000001,3,7,113.46000000000001,5,True,False,27,False,True,True,True,6.541755103184692,6.142589582536334,1.1676125332156975,1.5667780538640557,-6.713505516286773,-5.408417712370461,0.47461870105709725
N#Cc1ccc(Cc2cc(N3CCOCC3)cc(C(N)(Cl)n3cccc(O)c3=S)c2)c(C#N)c1,3-HPT,5,3,7.694931138765376,20.186864189088947,Tier 1 (<150 nM),-7.372680537548252,3.695451951803914,1.8661247420177158,492.0040000000001,3.9500500000000027,2,7,111.23000000000002,5,True,False,27,False,True,False,True,6.60196020844985,5.993556306042624,1.0929709303155253,1.7013748327227516,-6.814996307309717,-5.432771916299107,0.557684230238535
COC(c1cc(Cc2ccc(C#N)cc2C#N)cc(N2CCOC(N)C2)c1)n1cccc(O)c1=S,3-HPT,4,10,7.672104268831329,21.27628166970819,Tier 1 (<150 nM),-7.49619042056323,4.232879156736832,1.3414812638880815,487.58500000000026,3.572050000000002,2,8,120.46,6,True,False,27,False,True,False,True,6.281956611261113,5.972087929541568,1.3901476575702159,1.7000163392897605,-6.8373995152645195,-5.825688832811816,0.6587909052987104
N#Cc1cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc(C(=O)Cc2ccccc2F)c1CCCO,Acylurea,3,39,7.8558651955195185,13.935893042478199,Tier 1 (<150 nM),-7.0283226992905,4.022543003659661,2.014288777584775,492.55100000000033,2.581280000000001,3,6,122.53000000000002,8,False,True,24,False,False,False,True,6.794351128444344,6.080184063789285,1.0615140670751746,1.7756811317302335,-6.185446493202474,-6.352244945245145,0.6760777540453553
NC(=O)c1cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc(N2CCOCC2)c1N1CCOCC1,Acylurea,11,12,7.557928221440052,27.673989929221666,Tier 1 (<150 nM),-7.253750617615412,3.997456159664776,2.4354803651728556,486.5730000000005,-0.007699999999996487,3,8,129.46999999999997,5,False,True,24,False,False,False,True,6.842922112308477,6.985111640793519,0.7150061091315747,0.5728165806465322,-6.7244849089371606,-6.958956269331841,0.2947943482835713
CC(=O)OOc1ccc(C(=O)NC(=O)NC2C3CCN(CC3)C2C(C)=O)cc1N1CCOCC1,Acylurea,32,2,7.443152395979479,36.045213647444115,Tier 1 (<150 nM),-7.366122313754974,4.410212067031312,2.6284161667825385,474.5140000000004,0.8713000000000009,2,9,126.50999999999999,6,True,True,24,False,False,False,True,6.589059815839857,5.525405205397252,0.8540925801396222,1.9177471905822268,-5.917655385072139,-6.516226723181983,0.8498955905729906
CCCCC1CC2CCN1CC2NC(=O)NC(=O)c1ccc(CBr)c(C(N)=O)c1,Acylurea,30,2,7.345349916238262,45.14920252837804,Tier 1 (<150 nM),-8.005144436999233,4.449452818675246,3.692403528761272,465.39200000000017,2.7728,3,4,104.53,7,True,True,24,False,False,False,True,7.06403940284143,7.2071482585573685,0.2813105133968321,0.13820165768089332,-5.29037111205151,-6.948719610084425,1.0564248269148075
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CNc1ccoc1,Carboxylate,1,49,8.42754170244733,3.7364424505612557,Tier 1 (<150 nM),-7.110608632594246,3.380825362438716,1.3833226595118073,474.4980000000003,4.2842800000000025,2,9,138.34000000000003,10,False,False,148,False,False,True,True,7.027924057459397,6.808090743364772,1.3996176449879334,1.6194509590825579,-6.944041797168614,-6.675414752564761,0.16656683542563222
CNCc1cc(-c2cscn2)c(C(=O)O)c(C(=O)COC)c1O,Carboxylate,19,1,7.2320250421498065,58.610436777665555,Tier 1 (<150 nM),-7.497090840051142,2.9802628498969117,1.2233725488627416,336.3690000000001,1.7624,3,7,108.75,7,True,False,148,False,False,True,True,6.556413538163906,6.4944429495581,0.6756115039859001,0.7375820925917065,-6.709589188682404,-6.801866129376832,0.6952247106743092
