SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
N#CCCc1c(Cl)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1CCc1ccccc1C#N,7.883602336138913,13.073674376073756,Tier 1 (<150 nM),-7.476167264396425,Acylurea,False,True,4.073603178705143,490.0070000000004,3.986660000000003,2,5,109.02000000000001,7,1.6759804712969395,7.026283782495751,7.13568913367463,0.8573185536431618,0.7479132024642832,-5.48822242900905,-6.684424334636147,0.7917429297602778,False,0.5423728813559322,0.2926829268292683,False,True,24,False,8.481486060122112,False,1,55
N#CCCCc1c(Cl)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1CCc1ccccc1N,7.846546747726136,14.238139781818568,Tier 1 (<150 nM),-7.6871637902694046,Acylurea,True,True,4.023672563320526,494.03900000000044,4.0872800000000025,3,5,111.25,8,1.6954796240227084,6.8975503104055305,7.047651146660817,0.9489964373206057,0.7988956010653192,-5.416571493709348,-6.431902856084648,1.255260934184757,False,0.5161290322580645,0.2823529411764706,False,True,24,False,8.481486060122112,False,1,55
COc1ccccc1CCc1cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc(Cl)c1CCC#N,7.832605111959063,14.702625258313821,Tier 1 (<150 nM),-7.548442152862067,Acylurea,False,True,3.9404087171666804,495.0230000000003,4.123580000000003,2,5,94.45999999999998,8,2.120676005166237,6.59036153195286,6.952352502163367,1.2422435800062033,0.8802526097956962,-5.680223546137243,-6.718081173383196,0.8303609794788702,False,0.5645161290322581,0.3111111111111111,False,True,24,False,8.481486060122112,False,1,55
Cc1ccccc1CCc1cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc(Cl)c1CCCC#N,7.8083367377931046,15.54759654141802,Tier 1 (<150 nM),-7.0439083096982475,Acylurea,True,True,3.9539627171666805,493.05100000000044,4.813500000000004,2,4,85.23,8,2.0975964661827744,6.665890489508663,7.093419151047759,1.1424462482844415,0.7149175867453454,-5.903487095733202,-6.428400813933708,0.6155074957645397,False,0.5245901639344263,0.3146067415730337,False,True,24,False,8.481486060122112,False,1,55
COc1c(N2CCOCC2)cc(OCCC#N)c2c1SC(=S)N1C2=NC(CO)CC1CO,7.797234534523401,15.95017548196586,Tier 1 (<150 nM),-7.293674832551955,Cyclic-thione,True,False,4.2605215185842775,478.5960000000002,1.3889799999999997,2,10,110.78,7,1.2804469568002543,7.673213375887799,6.562943233123547,0.12402115863560237,1.2342913013998542,-6.5926474251292255,-6.401452211106107,0.7010274074227292,False,0.43333333333333335,0.25,False,True,77,False,7.244125144327508,True,2,32
Cc1ccccc1CCc1cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc(Cl)c1CCC#N,7.796477290588209,15.978010764566685,Tier 1 (<150 nM),-7.140982627291365,Acylurea,False,True,3.9443072487829225,479.0240000000004,4.4234000000000036,2,4,85.23,7,2.228539614429184,6.451044609643984,7.257579364812706,1.3454326809442252,0.5388979257755029,-5.892245989363141,-6.5129357847678335,0.6280468425235313,False,0.5423728813559322,0.3181818181818182,False,True,24,False,8.481486060122112,False,1,55
Cc1ccccc1-c1cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc(Cl)c1CCC#N,7.790911789679505,16.184087221206394,Tier 1 (<150 nM),-7.4400170482152514,Acylurea,False,True,3.8560149529863077,450.9700000000003,4.305200000000004,2,4,85.23,5,2.5073108878177615,6.233548865993256,7.10218633729184,1.5573629236862496,0.6887254523876649,-6.012457752136308,-6.704108288570673,0.7359087596445786,False,0.55,0.2891566265060241,False,True,24,False,8.481486060122112,False,1,55
N#CCCc1c(Cl)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1CCc1ccccc1N,7.769643856398832,16.99636869953792,Tier 1 (<150 nM),-7.7485223303416015,Acylurea,True,True,4.016173069560084,480.0120000000004,3.697180000000002,3,5,111.25,7,1.7335006230947114,6.777847319237916,7.254551034179215,0.9917965371609165,0.5150928222196169,-5.795841460825523,-6.5541652731911055,1.194357057150496,False,0.5423728813559322,0.2891566265060241,False,True,24,False,8.481486060122112,False,1,55
N#CCCCOc1c(N2CCOCC2)cc(O)c2c1SC(=S)N1C2=NC(O)CC1CO,7.752557650632143,17.678375297054174,Tier 1 (<150 nM),-8.059178603346268,Cyclic-thione,True,False,4.275583657689763,464.56900000000013,1.4335799999999999,3,10,121.78,6,1.3365623898736723,7.138233509281943,6.692043917798337,0.6143241413501999,1.0605137328338063,-6.858120460394455,-6.755213197327517,1.2010581429518128,False,0.3917525773195876,0.24444444444444444,False,True,77,False,7.244125144327508,True,2,32
COc1c(N2CCOCC2)cc(O)c2c1SC(=S)N1C2=NC(CNO)CC1CCCC#N,7.750035287961005,17.78134924424309,Tier 1 (<150 nM),-7.742057817788079,Cyclic-thione,True,False,4.4679703774177515,477.61200000000025,2.4901800000000005,3,10,113.58000000000001,7,1.9534210184451082,6.828108315672949,7.095728984450618,0.9219269722880554,0.6543063035103867,-6.220251863275263,-6.4694267787661115,1.2726310390219675,False,0.4,0.25263157894736843,False,True,77,False,7.244125144327508,True,2,32
