SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
CC(=O)NC(CCCCC#N)c1nnn(Cn2cccc(O)c2=S)c1N1CCOC(Cl)C1,7.497457917240583,31.80841894223388,Tier 1 (<150 nM),-7.223497417261037,3-HPT,True,False,4.350555787392393,479.99400000000026,2.6831700000000005,2,8,121.23,9,2.1102589359047923,7.229998955839333,5.721289849459609,0.2674589614012497,1.776168067780974,-6.570699956150932,-6.971178125674809,0.252319291586228,False,0.4155844155844156,0.23148148148148148,False,True,27,False,6.247789037426088,True,32,1
N#CCCCCCC(Cc1ccc(C#N)cc1N1CC(O)OC(Cl)C1)n1cccc(O)c1=S,7.330648931141959,46.70367643648335,Tier 1 (<150 nM),-7.282724747895472,3-HPT,True,False,4.493797063167358,487.0250000000002,4.772650000000006,2,7,105.44000000000001,9,1.5066103114699185,6.5006308617059245,5.907748907311462,0.8300180694360346,1.422900023830497,-6.414500225665472,-6.480747443597002,0.8019773042984699,False,0.36619718309859156,0.20588235294117646,False,True,27,False,6.247789037426088,True,3,24
N#CCCCCCC(Cc1ccc(C#N)cc1N1CCOC(N)C1)n1cccc(O)c1=S,7.208787296150107,61.83191593708817,Tier 1 (<150 nM),-7.457692781602656,3-HPT,True,False,4.110908500832799,451.59600000000023,4.174150000000004,2,7,111.23,9,1.5422855771572361,6.1716091920008145,5.8582104285400165,1.0371781041492927,1.3505768676100907,-6.304201904364797,-5.7309493843824475,1.153490877237859,False,0.39473684210526316,0.21428571428571427,False,True,27,False,6.247789037426088,True,3,24
N#CCCCCC(Cc1ccc(C#N)cc1N1CCOC(C(=O)C#N)C1)n1cccc(O)c1=S,6.8182423446535205,151.9699271730955,Tier 2 (150-300 nM),-7.456992444649606,3-HPT,True,False,4.221810041265627,475.5740000000002,3.9605300000000034,1,8,126.07000000000001,9,1.6143374594454378,6.391026176113022,5.7969840667958765,0.4272161685404985,1.021258277857644,-6.424020800367084,-5.6040966828217815,1.0329716442825214,False,0.379746835443038,0.22549019607843138,False,True,27,False,6.247789037426088,True,3,24
CC(=O)C1CN(c2cc(C#N)ccc2CC(CCCO)n2cccc(O)c2=S)CCO1,6.80184142515009,157.81874113699087,Tier 2 (150-300 nM),-7.279956142593073,3-HPT,True,False,3.9969066080152995,441.55300000000017,3.1453700000000016,2,7,98.72,8,1.1824623840155433,5.602220006130027,5.861144276938059,1.1996214190200627,0.9406971482120312,-6.647040978555342,-6.291542764070773,0.6329151640377306,True,0.379746835443038,0.2376237623762376,False,True,27,False,6.247789037426088,True,3,24
CC(N)C1CN(c2cc(C#N)ccc2CC(CCCCC#N)n2cccc(O)c2=S)CCO1,6.758454581751955,174.3995733923408,Tier 2 (150-300 nM),-7.825704348928195,3-HPT,True,False,4.273793589221949,465.6230000000002,4.215050000000003,2,7,111.23000000000002,9,1.2580447116056022,6.486198149884791,5.679114157948085,0.27225643186716386,1.0793404238038695,-6.149765940096277,-5.445143390408295,1.675938408831918,False,0.3625,0.22330097087378642,False,True,27,False,6.247789037426088,True,3,24
CC(=O)C1CN(c2cc(C#N)ccc2CC(CCCCC#N)n2cccc(O)c2=S)CCO1,6.512593875400005,307.18932850357186,Tier 3 (300-500 nM),-7.854071437016498,3-HPT,True,False,4.056666504786635,464.59100000000024,4.456850000000005,1,7,102.28,9,1.2580447116056022,5.615709117831622,5.956982897376081,0.8968847575683832,0.5556109780239238,-6.04172223273289,-6.047828932250755,1.806242504765743,False,0.38461538461538464,0.23529411764705882,False,True,27,False,6.247789037426088,True,3,24
CC(=O)C1CN(c2cc(C#N)ccc2C(C)C(CCN)n2cccc(O)c2=S)CCO1,6.4968211218344925,318.5509306129977,Tier 3 (300-500 nM),-7.251364430829696,3-HPT,True,False,4.327173709484049,440.5690000000002,3.2826700000000013,2,7,104.51000000000002,7,1.290493207939306,6.182754144061558,6.193042622589229,0.31406697777293413,0.30377849924526323,-6.675291559477715,-6.697062084638846,0.5543023461908501,False,0.4,0.25263157894736843,False,True,27,False,6.247789037426088,True,12,1
N#Cc1ccc(CC(CCCCCCN)n2cccc(O)c2=S)c(N2CCOC(N)C2)c1,6.478763853082494,332.0749736968143,Tier 3 (300-500 nM),-7.160347611621047,3-HPT,True,False,4.0251688558623835,455.6280000000002,3.6092700000000013,3,7,113.46,10,1.567224872509339,5.86480923356547,5.821565820299069,0.613954619517024,0.657198032783425,-6.4485470593673115,-5.819080238513411,0.7118005522537354,False,0.39473684210526316,0.21428571428571427,False,True,27,False,6.247789037426088,True,3,24
CC(C)C(C(N)=O)c1c(Cl)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1-c1ccccc1,7.688395844037099,20.492934689146526,Tier 1 (<150 nM),-7.340860841050433,Acylurea,False,True,4.135193473913903,483.0120000000003,3.765500000000002,3,4,104.52999999999999,6,2.5509433914319595,6.688077145909232,6.563866017207041,1.0003186981278667,1.1245298268300576,-4.8686181327916005,-6.731552540681933,0.6093083003685003,False,0.5517241379310345,0.2988505747126437,False,True,24,False,8.481486060122112,False,7,9
