SMILES,zbg_tag,cluster_id,cluster_size,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,sa_score,l_shape_2d_proxy,MW,cLogP,HBD,HBA,TPSA,RotB,pains_brenk_flagged,soft_metabolic_liability,zbg_precedent_count,zbg_low_precedent,exceeds_real_precedent,ic50_model_low_confidence,dock_model_low_confidence,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity
CC(=O)NC(CCCCC#N)c1nnn(Cn2cccc(O)c2=S)c1N1CCOC(Cl)C1,3-HPT,32,1,7.497457917240583,31.80841894223388,Tier 1 (<150 nM),-7.223497417261037,4.350555787392393,2.1102589359047923,479.99400000000026,2.6831700000000005,2,8,121.23,9,True,False,27,False,True,False,True,7.229998955839333,5.721289849459609,0.2674589614012497,1.776168067780974,-6.570699956150932,-6.971178125674809,0.252319291586228,False
N#CCCCCCC(Cc1ccc(C#N)cc1N1CC(O)OC(Cl)C1)n1cccc(O)c1=S,3-HPT,3,24,7.330648931141959,46.70367643648335,Tier 1 (<150 nM),-7.282724747895472,4.493797063167358,1.5066103114699185,487.0250000000002,4.772650000000006,2,7,105.44000000000001,9,True,False,27,False,True,False,True,6.5006308617059245,5.907748907311462,0.8300180694360346,1.422900023830497,-6.414500225665472,-6.480747443597002,0.8019773042984699,False
N#CCCCc1cn(C(CCCC#N)(CNC(F)(F)F)n2cccc(O)c2=S)nn1,3-HPT,24,1,6.683336765427708,207.33051887343916,Tier 2 (150-300 nM),-7.562322177236713,4.3461841472164,1.5596085396549635,439.46700000000004,3.3653500000000025,2,7,115.48,10,True,False,27,False,True,False,True,6.621421960602148,6.377056747323837,0.06191480482555978,0.3062800181038705,-6.381617302308952,-6.736409850231414,0.825912327005299,False
CC(=O)C1CN(c2cc(C#N)ccc2C(C)C(CCN)n2cccc(O)c2=S)CCO1,3-HPT,12,1,6.4968211218344925,318.5509306129977,Tier 3 (300-500 nM),-7.251364430829696,4.327173709484049,1.290493207939306,440.5690000000002,3.2826700000000013,2,7,104.51000000000002,7,True,False,27,False,True,False,True,6.182754144061558,6.193042622589229,0.31406697777293413,0.30377849924526323,-6.675291559477715,-6.697062084638846,0.5543023461908501,False
CC(C)C(C(N)=O)c1c(Cl)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1-c1ccccc1,Acylurea,7,9,7.688395844037099,20.492934689146526,Tier 1 (<150 nM),-7.340860841050433,4.135193473913903,2.5509433914319595,483.0120000000003,3.765500000000002,3,4,104.52999999999999,6,False,True,24,False,False,False,True,6.688077145909232,6.563866017207041,1.0003186981278667,1.1245298268300576,-4.8686181327916005,-6.731552540681933,0.6093083003685003,False
CCC1CC2CCN1CC2NC(=O)NC(=O)c1ccc(S(=O)(=O)N2CCOCC2)c(C)c1,Acylurea,2,26,7.413506264434316,38.59168449383168,Tier 1 (<150 nM),-7.172461892487701,4.3476711780114945,4.813597129179463,464.58800000000036,1.328120000000002,2,6,108.05000000000001,5,False,True,24,False,False,False,False,6.539518839002355,6.748099897038398,0.8739874254319613,0.6654063673959181,-5.921736276731993,-6.040528518570973,1.1319333739167279,False
NC(=O)C(Cl)CCCc1ccc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1Cl,Acylurea,4,13,7.380549930901656,41.63418513883916,Tier 1 (<150 nM),-8.292430625342794,4.136354549975675,5.187381425755638,441.35900000000026,2.2890000000000006,3,4,104.52999999999999,7,True,True,24,False,False,False,True,6.698494162539753,7.2041732993343395,0.6820557683619022,0.1763766315673161,-5.869259203618011,-6.967821571503911,1.3246090538388833,False
COc1ccc(C(=O)NC(=O)NC2CN3CCC2C(C(=O)N2CCOCC2)C3)cc1Cl,Acylurea,18,1,7.257239654337469,55.30448413005718,Tier 1 (<150 nM),-7.167375274270359,4.361424467889286,2.2830583641878883,450.92300000000034,0.967100000000001,2,6,100.20999999999998,4,False,True,24,False,False,False,True,6.073963926496761,6.311207150714136,1.1832757278407078,0.946032503623333,-6.5036272691201455,-6.4101822178611885,0.6637480051502136,False
N#CCOc1c(-c2cscn2)ccc2c1C1=NC(c3ccccc3O)CC(O)N1C(=S)S2,Cyclic-thione,16,3,7.840916492933358,14.423926711927175,Tier 1 (<150 nM),-7.144988822199185,4.2515436803689814,1.2367413844742967,480.5960000000002,4.320680000000004,2,9,101.97,4,True,False,50,False,True,False,True,6.047693609486876,6.304687227976387,1.7932228834464823,1.5362292649569715,-6.368890438695542,-6.254755112588631,0.7760983835036432,False
N#CCCOCOCCc1nc(-c2ccc3c(c2OCN)C2=NCCCN2C(=S)S3)cs1,Cyclic-thione,15,2,7.772543474630872,16.883268426945847,Tier 1 (<150 nM),-7.482908467272869,3.6569031816018915,3.6586851106158784,489.64800000000025,3.3948800000000015,1,10,105.99,10,True,False,50,False,True,False,True,6.946082655271787,6.24982749201039,0.8264608193590854,1.5227159826204826,-6.758366350504691,-6.194824184380616,0.7245421167681787,False
