SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
CC1CC(N)N2C(=S)Sc3ccc(CCCCCCCC#N)c(N4CCNCC4)c3C2=N1,7.992611945546794,10.171571457422264,Tier 1 (<150 nM),-7.567247255413407,Cyclic-thione,True,False,4.211275452944231,470.7120000000004,4.019080000000003,2,7,80.67999999999999,8,2.2232700377811265,6.560411626062904,5.578235235353221,1.43220031948389,2.414376710193573,-6.61838895522651,-6.2907993683901395,0.9488583001868971,False,0.32857142857142857,0.18556701030927836,True,True,50,False,7.244125144327508,True,1,41
CC1CC(N)N2C(=S)Sc3ccc(CCCNCCCC#N)c(N4CCNCC4)c3C2=N1,7.990990708472009,10.209613264656728,Tier 1 (<150 nM),-7.776209072128056,Cyclic-thione,True,False,4.299540168663295,471.70000000000033,2.4383800000000004,3,8,92.71,8,2.2232700377811265,6.481335015030825,5.521107413672139,1.509655693441184,2.46988329479987,-6.756915833286703,-6.860028690918893,0.9161803812091636,False,0.3150684931506849,0.1941747572815534,True,True,50,False,7.244125144327508,True,1,41
N#CCCCNCCCc1ccc2c(c1N1CCNCC1)C1=NC(N)CC(N)N1C(=S)S2,7.943698685629142,11.384168477534347,Tier 1 (<150 nM),-8.568007013833723,Cyclic-thione,True,False,4.4128814730111205,472.6880000000003,1.3346800000000019,4,9,118.72999999999999,8,2.5502399362599055,6.987174205742281,5.735810052937111,0.9565244798868608,2.207888632692031,-6.845372648096764,-6.990128371376646,1.577878642457077,False,0.3194444444444444,0.18888888888888888,True,True,50,False,7.244125144327508,True,1,41
CCOCCc1ccc2c(c1N1CCNCC1)C1=NC(C(=O)OCC)CC(N)N1C(=S)S2,7.926041806143508,11.856546089491404,Tier 1 (<150 nM),-7.244562715900792,Cyclic-thione,True,True,4.2645886360821645,477.6560000000002,1.7346000000000008,2,9,92.41999999999999,7,1.3316126769738854,5.9274940925808695,6.653683998496546,1.9985477135626386,1.2723578076469622,-6.63295363427476,-6.927145138003994,0.3174175778967978,False,0.3516483516483517,0.26744186046511625,False,True,50,False,7.244125144327508,True,1,41
CC1CC(N)N2C(=S)Sc3ccc(CCCCC#N)c(N4CCN(C(C)(C)C)CC4)c3C2=N1,7.887957196715193,12.943234013556562,Tier 1 (<150 nM),-7.419398748064843,Cyclic-thione,True,False,4.285497565310964,484.7390000000004,4.359680000000004,1,7,71.89,5,1.5406419310125112,5.828854564666369,6.6460667548665935,2.0591026320488233,1.2418904418485992,-6.861724081769817,-6.244527655509825,0.5576746662950258,False,0.30985915492957744,0.18811881188118812,True,True,50,False,7.244125144327508,True,1,41
CCCC1CC(N)N2C(=S)Sc3ccc(CCCCC#N)c(N4CCNCC4)c3C2=N1,7.859734400337128,13.812287186369945,Tier 1 (<150 nM),-7.825640166983094,Cyclic-thione,True,False,4.315269347561689,456.6850000000004,3.628980000000002,2,7,80.67999999999999,7,1.4482415525962284,6.395768746693209,5.914310761165052,1.4639656536439194,1.945423639172076,-6.584025482814307,-6.967670995186694,0.8579691717964,False,0.3287671232876712,0.2,True,True,50,False,7.244125144327508,True,1,41
N#Cc1cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc(C(=O)Cc2ccccc2F)c1CCCO,7.8558651955195185,13.935893042478199,Tier 1 (<150 nM),-7.0283226992905,Acylurea,False,True,4.022543003659661,492.55100000000033,2.581280000000001,3,6,122.53000000000002,8,2.014288777584775,6.794351128444344,6.080184063789285,1.0615140670751746,1.7756811317302335,-6.185446493202474,-6.352244945245145,0.6760777540453553,False,0.45454545454545453,0.2903225806451613,False,True,24,False,8.481486060122112,False,2,39
N#CCCCCc1ccc2c(c1N1CCNCC1)C1=NC(c3ccncc3)CC(N)N1C(=S)S2,7.7642377281661785,17.209263004166466,Tier 1 (<150 nM),-7.737695195017477,Cyclic-thione,True,False,4.210845487069822,491.6900000000001,3.596580000000002,2,8,93.57,6,1.5069183403531752,6.75068102040111,6.185122758396072,1.0135567077650682,1.5791149697701066,-6.446587660705089,-6.806936877470142,0.9307583175473351,False,0.3218390804597701,0.1956521739130435,True,True,50,False,7.244125144327508,True,1,41
CCOC(=O)C1CC(N)N2C(=S)Sc3ccc(CCCCOC)c(N4CCNCC4)c3C2=N1,7.73286656071215,18.498369038899735,Tier 1 (<150 nM),-7.330250317126471,Cyclic-thione,True,True,4.206425139494412,491.6830000000005,2.1247000000000016,2,9,92.42,8,1.2362530851963047,5.8898332852302895,5.545707295777447,1.8430332754818606,2.187159264934703,-6.894848095545779,-6.926704026324081,0.4035462908023906,True,0.3473684210526316,0.25806451612903225,True,True,50,False,7.244125144327508,True,1,41
CC1CC(N)N2C(=S)Sc3ccc(CCCCC#N)c(N4CCOCC4)c3C2=N1,7.702676174127916,19.830050759061898,Tier 1 (<150 nM),-7.6593405980926965,Cyclic-thione,True,False,4.196632998028338,429.6150000000003,3.275780000000002,1,7,77.88,5,1.788778833452355,5.998044756505187,6.029839965598754,1.7046314176227293,1.6728362085291621,-6.8569038176281625,-6.481957778328028,0.802436780464534,False,0.30985915492957744,0.23076923076923078,True,True,50,False,7.244125144327508,True,1,41
