SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
N#CCc1cc(C#N)ccc1Cc1cc(Cn2cccc(O)c2=S)cc(N2CCOC(N)C2)c1,7.9365136891795816,11.574075494516299,Tier 1 (<150 nM),-7.715850800408756,3-HPT,True,False,3.7522502220259604,471.58600000000024,3.621450000000002,2,7,111.22999999999999,6,1.4906865243321856,7.034555674663911,6.0490727766356,0.9019580145156709,1.8874409125439815,-6.916606549944305,-6.0759958035286905,0.7992442504644508,False,0.4852941176470588,0.22105263157894736,False,True,27,False,6.247789037426088,True,2,40
N#Cc1ccc(Cc2cc(Cn3cccc(O)c3=S)cc(N3CCOC(N)C3)c2)c(CCCN)c1,7.832697670270545,14.69949211888709,Tier 1 (<150 nM),-7.361987761611368,3-HPT,True,False,3.677101595247148,489.6450000000004,3.446670000000002,3,7,113.46,8,1.4438767848749368,6.9691222241948285,6.206164679649754,0.8635754460757168,1.6265329906207917,-6.887815644365011,-5.980715889463502,0.4741721172463569,False,0.4583333333333333,0.21978021978021978,False,True,27,False,6.247789037426088,True,2,40
N#Cc1ccc(Cc2cc(N3CCOC(F)C3)cc(C(N)(Cl)n3cccc(O)c3=S)c2)c(N)c1,7.70936763640039,19.526857799080314,Tier 1 (<150 nM),-7.18812421734387,3-HPT,True,False,4.230480967378987,499.9990000000001,3.956170000000001,3,7,113.46000000000001,5,1.7481002843842335,6.541755103184692,6.142589582536334,1.1676125332156975,1.5667780538640557,-6.713505516286773,-5.408417712370461,0.47461870105709725,False,0.3490566037735849,0.22330097087378642,True,True,27,False,6.247789037426088,True,15,2
N#Cc1cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc(C(=O)Cc2ccccc2F)c1CCCO,7.8558651955195185,13.935893042478199,Tier 1 (<150 nM),-7.0283226992905,Acylurea,False,True,4.022543003659661,492.55100000000033,2.581280000000001,3,6,122.53000000000002,8,2.014288777584775,6.794351128444344,6.080184063789285,1.0615140670751746,1.7756811317302335,-6.185446493202474,-6.352244945245145,0.6760777540453553,False,0.45454545454545453,0.2903225806451613,False,True,24,False,8.481486060122112,False,3,39
CCCCCCCc1c(C#N)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1C(=O)CN,7.669446197646969,21.40690108660655,Tier 1 (<150 nM),-7.663108782830596,Acylurea,True,True,4.034356176202271,453.58700000000033,2.7461800000000007,3,6,128.32000000000002,10,3.295163026144218,6.578517649442399,6.048459389485116,1.0909285482045696,1.6209868081618524,-6.618087749566973,-6.654390356434625,1.008718426395971,False,0.5166666666666667,0.26595744680851063,False,True,24,False,8.481486060122112,False,3,39
CCCCc1c(C#N)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1C(=O)Cc1ccc(O)cc1,7.624631276607831,23.733878971388997,Tier 1 (<150 nM),-7.134335731485598,Acylurea,False,True,3.9699086145193876,488.58800000000036,3.5654800000000026,3,6,122.53000000000002,8,1.582931903478315,6.597120513282857,6.015858968696756,1.0275107633249734,1.6087723079110745,-5.7850469969908245,-6.46515394394048,0.669181787545118,False,0.5,0.27956989247311825,False,True,24,False,8.481486060122112,False,3,39
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CNc1ccoc1,8.42754170244733,3.7364424505612557,Tier 1 (<150 nM),-7.110608632594246,Carboxylate,False,False,3.380825362438716,474.4980000000003,4.2842800000000025,2,9,138.34000000000003,10,1.3833226595118073,7.027924057459397,6.808090743364772,1.3996176449879334,1.6194509590825579,-6.944041797168614,-6.675414752564761,0.16656683542563222,False,0.3372093023255814,0.24468085106382978,True,True,148,False,9.69897000433602,False,1,49
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CCCO,8.114495460446129,7.682534859674801,Tier 1 (<150 nM),-7.423808999981276,Carboxylate,False,False,3.1131790532527477,437.4770000000003,3.351680000000002,2,8,133.4,10,1.1603096714815644,6.77527555218519,6.17342236508708,1.3392199082609393,1.941073095359049,-6.790693207847425,-6.860723752449336,0.5630852475319399,False,0.31958762886597936,0.25287356321839083,True,True,148,False,9.69897000433602,False,1,49
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CCCN,8.063793438536925,8.63389099863805,Tier 1 (<150 nM),-7.240831023358605,Carboxylate,False,False,3.1167680392667334,436.49300000000034,3.318080000000001,2,8,139.19000000000003,10,1.1603096714815644,6.905326336072473,6.241311291068904,1.158467102464452,1.8224821474680208,-6.7838017011043625,-6.918400980855533,0.32243004250307195,False,0.33707865168539325,0.25287356321839083,True,True,148,False,9.69897000433602,False,1,49
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)F,6.82363159397263,150.09575372242102,Tier 2 (150-300 nM),-7.108008999239936,Carboxylate,True,False,3.148705110388078,397.38700000000017,3.5061800000000023,1,7,113.17000000000002,7,1.114786816837514,6.6885545297562725,6.935460617097808,0.13507706421635746,-0.1118290231251784,-6.8662814938263494,-5.920614730223829,0.24172750541358656,False,0.3472222222222222,0.2682926829268293,True,True,148,False,9.69897000433602,False,1,49
