SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CNc1ccoc1,8.42754170244733,3.7364424505612557,Tier 1 (<150 nM),-7.110608632594246,Carboxylate,False,False,3.380825362438716,474.4980000000003,4.2842800000000025,2,9,138.34000000000003,10,1.3833226595118073,7.027924057459397,6.808090743364772,1.3996176449879334,1.6194509590825579,-6.944041797168614,-6.675414752564761,0.16656683542563222,False,0.3372093023255814,0.24468085106382978,True,True,148,False,9.69897000433602,False,1,49
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CCCO,8.114495460446129,7.682534859674801,Tier 1 (<150 nM),-7.423808999981276,Carboxylate,False,False,3.1131790532527477,437.4770000000003,3.351680000000002,2,8,133.4,10,1.1603096714815644,6.77527555218519,6.17342236508708,1.3392199082609393,1.941073095359049,-6.790693207847425,-6.860723752449336,0.5630852475319399,False,0.31958762886597936,0.25287356321839083,True,True,148,False,9.69897000433602,False,1,49
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CCCN,8.063793438536925,8.63389099863805,Tier 1 (<150 nM),-7.240831023358605,Carboxylate,False,False,3.1167680392667334,436.49300000000034,3.318080000000001,2,8,139.19000000000003,10,1.1603096714815644,6.905326336072473,6.241311291068904,1.158467102464452,1.8224821474680208,-6.7838017011043625,-6.918400980855533,0.32243004250307195,False,0.33707865168539325,0.25287356321839083,True,True,148,False,9.69897000433602,False,1,49
CC(CO)CC(=O)c1c(OCC#N)c(Cc2ccncc2)cc(-c2cscn2)c1C(=O)O,8.044876688024015,9.018271627406019,Tier 1 (<150 nM),-7.193799624414085,Carboxylate,False,False,3.632257121007603,451.50400000000013,3.597680000000002,2,8,133.39999999999998,10,1.2047692526985676,7.32895141525912,6.363366428511066,0.7159252727648946,1.6815102595129492,-6.746544112858803,-6.9376442945139525,0.2561553299001327,False,0.3402061855670103,0.26136363636363635,True,True,148,False,9.69897000433602,False,1,49
N#CCOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CCF,8.034360798977731,9.239302811302027,Tier 1 (<150 nM),-7.645596694163087,Carboxylate,False,False,3.234101182059458,425.44100000000026,3.938780000000003,1,7,113.17000000000002,9,1.0524606030832926,6.849991453307324,6.602989512290061,1.1843693456704072,1.4313712866876704,-6.767175601994958,-6.895708571212069,0.7498881229510186,False,0.36666666666666664,0.2558139534883721,False,True,148,False,9.69897000433602,False,1,49
CCCCc1ccc2c(c1CCCCCCC#N)C1=NC(N3CCNCC3)CC(O)N1C(=S)S2,7.962933300970812,10.890973442673044,Tier 1 (<150 nM),-7.333351165763795,Cyclic-thione,True,False,4.29436892077897,499.75000000000017,4.438380000000004,2,7,74.89,10,1.1796590995325686,6.705978079840571,6.61011145438208,1.2569552211302417,1.352821846588732,-6.578098929676635,-6.845107025040666,0.48824414072312905,False,0.35714285714285715,0.22,False,True,50,False,7.244125144327508,True,6,21
N#CCCCC(=O)c1c(OCC#N)c(Cc2ccncc2)cc(-c2cscn2)c1C(=O)O,7.959316235123222,10.982058805137994,Tier 1 (<150 nM),-7.047517108486196,Carboxylate,True,False,3.1924910746021915,446.4880000000001,4.273060000000004,1,8,136.95999999999998,10,1.2896228350890766,6.693209639012741,6.295421306615554,1.2661065961104807,1.6638949285076672,-6.833763107591582,-6.817848443704551,0.21375400089461394,False,0.33707865168539325,0.25287356321839083,True,True,148,False,9.69897000433602,False,1,49
CCCCc1ccc2c(c1CCCCCC#N)C1=NC(N3CCNCC3)CC(O)N1C(=S)S2,7.942665723058628,11.4112777693071,Tier 1 (<150 nM),-7.489998009493495,Cyclic-thione,True,False,4.308947721973523,485.7230000000002,4.048280000000004,2,7,74.89,9,1.1523729081407612,6.705978079840571,6.629297900002219,1.2366876432180574,1.3133678230564092,-6.513321173320703,-6.901684260034873,0.5883137494586217,False,0.35714285714285715,0.22,False,True,50,False,7.244125144327508,True,6,21
N#CCc1cc(C#N)ccc1Cc1cc(Cn2cccc(O)c2=S)cc(N2CCOC(N)C2)c1,7.9365136891795816,11.574075494516299,Tier 1 (<150 nM),-7.715850800408756,3-HPT,True,False,3.7522502220259604,471.58600000000024,3.621450000000002,2,7,111.22999999999999,6,1.4906865243321856,7.034555674663911,6.0490727766356,0.9019580145156709,1.8874409125439815,-6.916606549944305,-6.0759958035286905,0.7992442504644508,False,0.4852941176470588,0.22105263157894736,False,True,27,False,6.247789037426088,True,2,40
N#CCOOc1c(Cc2ccncc2)cc(-c2cscn2)c(C(=O)O)c1C(=O)CCF,7.930493479724138,11.735633016399227,Tier 1 (<150 nM),-7.550905676239141,Carboxylate,True,False,3.5237631441618387,441.4400000000002,3.8703800000000026,1,8,122.4,10,1.0557959747863654,7.0231833692280965,6.935237826206193,0.9073101104960415,0.9952556535179449,-6.784730172950998,-6.749950266041958,0.7661755032881432,False,0.4044943820224719,0.23595505617977527,False,True,148,False,9.69897000433602,False,1,49
