SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,periphery_touched,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
CCCc1ccc(C[C@@H](N)C(=O)N2Cc3cc(CNC)c(C(C)=O)cc3C2)c(CC#N)c1,7.333878905134281,46.35761612296279,Tier 1 (<150 nM),-7.083793431349305,alpha-amino-amide,False,False,3.3468127822003435,432.5680000000002,3.039380000000002,2,5,99.22,9,2.7564171628992273,5.528724864561841,5.910526614420334,1.8051540405724396,1.4233522907139466,-6.22362469426973,-6.85363231981322,0.2301611115360851,True,False,0.4794520547945205,0.275,False,True,58,False,6.995678626217357,True,1,33
CCCCC(CNC(=O)NC)c1ccc2c(c1)CN(C(=O)[C@H](N)Cc1ccc(Cl)cc1C)C2,7.287933139183762,51.53079715385242,Tier 1 (<150 nM),-7.347467438204439,alpha-amino-amide,False,False,3.3728057592908964,471.0450000000003,4.263420000000003,3,3,87.46000000000001,9,2.329081395355124,5.760581695950557,5.886011163297087,1.5273514432332052,1.4019219758866752,-5.332745514375761,-6.820564093435875,0.5269033447685638,True,False,0.5492957746478874,0.2558139534883721,False,True,58,False,6.995678626217357,True,9,11
CCCCC(CNC)c1ccc2c(c1)CN(C(=O)[C@H](N)Cc1ccc(Cl)cc1CO)C2,7.283553698191279,52.05306439906794,Tier 1 (<150 nM),-7.123065189615886,alpha-amino-amide,False,False,3.4030307459463334,444.01900000000023,3.737700000000002,3,4,78.59,10,2.915851135797377,5.926366080503328,6.228699027344406,1.3571876176879512,1.0548546708468738,-5.556963570456088,-6.58889107372639,0.5341741158894964,False,False,0.5352112676056338,0.2619047619047619,False,True,58,False,6.995678626217357,True,9,11
CNC(=O)c1cc2c(cc1-c1ccoc1)CN(C(=O)[C@H](N)Cc1ccc(CCC#N)cc1Cl)C2,7.28096120430425,52.36472121065306,Tier 1 (<150 nM),-7.892222094899369,alpha-amino-amide,False,False,3.3760269518039134,476.9640000000003,3.827980000000002,2,5,112.36000000000001,7,2.7342581961143804,5.580534418355089,6.280934877631084,1.700426785949161,1.0000263266731668,-5.831257783709261,-5.8348065446722295,2.057415550227139,False,False,0.4935064935064935,0.28735632183908044,False,True,58,False,6.995678626217357,True,1,33
CCCCC(CC(=O)NC)c1ccc2c(c1)CN(C(=O)[C@H](N)Cc1ccc(NC)cc1C)C2,7.234821975091153,58.234188098016595,Tier 1 (<150 nM),-7.209172452652898,alpha-amino-amide,False,False,3.42232080945812,450.62700000000024,3.8588200000000024,3,4,87.46000000000001,10,2.540529109451062,5.746658545532339,5.924242585098251,1.4881634295588135,1.3105793899929017,-5.962838269375283,-6.986322408492115,0.2228500441607828,True,False,0.4533333333333333,0.26136363636363635,False,True,58,False,6.995678626217357,True,10,6
CCCCc1ccc(C[C@@H](N)C(=O)N2Cc3cc(C(=O)NC)c(-c4ccoc4)cc3C2)c(CC#N)c1,7.225515957244349,59.495489598140786,Tier 1 (<150 nM),-8.355542937224051,alpha-amino-amide,False,False,3.4482470582107148,484.60000000000025,4.127080000000004,2,5,112.36000000000001,9,2.536334596957614,5.594700357066872,6.356935814363033,1.6308156001774776,0.8685801428813162,-5.382729419418752,-6.272325214121034,2.083217723103017,False,False,0.39759036144578314,0.24175824175824176,False,True,58,False,6.995678626217357,True,1,33
CCCc1ccc(C[C@@H](N)C(=O)N2Cc3cc(C(=O)NC)c(-c4ccoc4)cc3C2)c(C(C)=O)c1,7.219042808258128,60.38891013010022,Tier 1 (<150 nM),-7.8683290428369155,alpha-amino-amide,False,False,3.3251072435987954,473.5730000000002,3.8735000000000026,2,5,105.64000000000001,8,2.6590020304599316,5.707675681389112,6.271266343442884,1.5113671268690156,0.9477764648152442,-4.965763616172825,-6.761076295363728,1.1072527474731872,False,False,0.4230769230769231,0.24691358024691357,False,True,58,False,6.995678626217357,True,1,33
CCCc1ccc(C[C@@H](N)C(=O)N2Cc3ccc(C(=O)NC(C)=O)cc3C2)c(Cl)c1,7.191838336229922,64.29269988738294,Tier 1 (<150 nM),-8.445812645788074,alpha-amino-amide,False,True,2.874641607828078,427.93200000000013,2.9810000000000016,2,4,92.5,6,2.602262756430673,5.426019404850821,5.724989148424142,1.7658189313791013,1.4668491878057797,-6.289338569539662,-6.868129190565685,1.577683455222389,True,False,0.6612903225806451,0.38028169014084506,False,False,58,False,6.995678626217357,True,1,33
CCCCc1ccc(C[C@@H](N)C(=O)N2Cc3cc(CNC)c(C(=O)NC)cc3C2)c(CC#N)c1,7.17800791547134,66.37309731002127,Tier 1 (<150 nM),-8.641697951180198,alpha-amino-amide,False,False,3.362141005447638,461.61000000000024,2.5864800000000017,3,5,111.25,10,2.603638289563305,5.684159265753186,6.199435506195746,1.4938486497181538,0.9785724092755936,-5.449141237167622,-6.32695146389587,2.314746487284328,False,False,0.4605263157894737,0.26506024096385544,False,True,58,False,6.995678626217357,True,1,33
CNC(=O)c1cc2c(cc1CC#N)CN(C(=O)[C@H](N)Cc1ccc(CCC#N)cc1Cl)C2,7.175691347514698,66.72808362981438,Tier 1 (<150 nM),-8.408338042385928,alpha-amino-amide,False,False,3.3633923846203944,449.94200000000023,2.6340600000000007,2,5,123.00999999999999,7,2.4833634453165336,5.639645046014266,6.123434569463797,1.5360463015004324,1.0522567780509018,-6.6963864754488185,-6.639969440475361,1.7119515669371097,False,False,0.5428571428571428,0.2962962962962963,False,True,58,False,6.995678626217357,True,1,33
CNC(=O)c1cc2c(cc1-c1ccoc1)CN(C(=O)[C@H](N)Cc1ccc(CCC#N)cc1C)C2,7.167593224409651,67.98400968113762,Tier 1 (<150 nM),-8.198517627172208,alpha-amino-amide,False,False,3.378734163342374,456.5460000000003,3.4830000000000023,2,5,112.36000000000001,7,2.7342581961143804,5.539793945019661,6.396058382481375,1.6277992793899898,0.7715348419282764,-6.482747504654662,-6.975876521991325,1.222641105180883,False,False,0.4074074074074074,0.23529411764705882,False,True,58,False,6.995678626217357,True,1,33
CCCCC(CC(N)=O)c1ccc2c(c1)CN(C(=O)[C@H](N)Cc1cc(C)c(NC)cc1C)C2,7.161160223941422,68.99852011489178,Tier 1 (<150 nM),-7.717360447828234,alpha-amino-amide,False,False,3.494302765796096,450.6270000000003,3.9065400000000023,3,4,101.45,10,2.7604439841793673,5.58744793435264,5.616602031135456,1.5737122895887818,1.5445581928059653,-5.682769340272629,-6.681965885723783,1.0353945621044511,True,False,0.4025974025974026,0.23255813953488372,False,True,58,False,6.995678626217357,True,10,6
CCCc1ccc(C[C@@H](N)C(=O)N2Cc3cc(C(=O)NC)c(-c4ccoc4)cc3C2)c(Cl)c1,7.1589876038824425,69.34455988319131,Tier 1 (<150 nM),-8.391432132138348,alpha-amino-amide,False,False,3.2187525530420436,465.9810000000001,4.324300000000003,2,4,88.57000000000001,7,2.7834185618675837,5.716636083375881,6.069870015284728,1.4423515205065618,1.0891175885977145,-5.302908982754127,-5.7888487281209935,2.6025834040173548,False,False,0.5205479452054794,0.2857142857142857,False,True,58,False,6.995678626217357,True,1,33
CNC(=O)c1cc2c(cc1-c1ccoc1)CN(C(=O)[C@H](N)Cc1ccc(CCCN)cc1Cl)C2,7.152167919667068,70.4420652537871,Tier 1 (<150 nM),-8.118135102573543,alpha-amino-amide,False,False,3.2897783941116057,480.9960000000003,3.2631000000000006,3,5,114.59,8,2.651511201156805,5.904739829907667,6.068638695608236,1.247428089759401,1.0835292240588323,-5.682762673575561,-6.003684194685108,2.1144509078884353,False,False,0.5342465753424658,0.2823529411764706,False,True,58,False,6.995678626217357,True,3,4
CCCc1ccc(C[C@@H](N)C(=O)N2Cc3cc(CNC)c(C(=O)NC)cc3C2)c(CC#N)c1,7.1493752178403005,70.89649781000332,Tier 1 (<150 nM),-9.143699740334979,alpha-amino-amide,False,False,3.3679762233408894,447.5830000000002,2.1963800000000004,3,5,111.25,9,2.826169607432205,5.679607555270858,6.288456520564574,1.469767662569443,0.8609186972757268,-6.019366056182912,-6.385517255140702,2.7581824851942773,False,False,0.47297297297297297,0.2716049382716049,False,True,58,False,6.995678626217357,True,1,33
CCc1cc(CCC#N)ccc1C[C@@H](N)C(=O)N1Cc2cc(C(=O)NC)c(-c3ccoc3)cc2C1,7.1465277679827715,71.36285755777044,Tier 1 (<150 nM),-8.507842385376453,alpha-amino-amide,False,False,3.439101049792602,470.57300000000026,3.7369800000000026,2,5,112.36,8,2.6600275167172835,5.473252698633608,6.366150701331688,1.6732750693491631,0.7803770666510834,-5.902421671653431,-6.725570574726658,1.782271810649795,False,False,0.4074074074074074,0.24719101123595505,False,True,58,False,6.995678626217357,True,1,33
CCCc1cc2c(cc1C(=O)NC)CN(C(=O)[C@H](N)Cc1ccc(CCC#N)cc1Cl)C2,7.141677607382255,72.16429822758977,Tier 1 (<150 nM),-9.6678210137431,alpha-amino-amide,False,False,3.2177324019064795,452.9860000000002,3.520480000000002,2,4,99.22,8,2.8807385441918165,5.654309684892615,6.042080182378192,1.4873679224896401,1.0995974250040632,-6.22062296621577,-6.678631625993928,2.989189387749173,False,False,0.5352112676056338,0.2926829268292683,False,True,58,False,6.995678626217357,True,1,33
