SMILES,zbg_tag,cluster_id,cluster_size,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,sa_score,l_shape_2d_proxy,MW,cLogP,HBD,HBA,TPSA,RotB,pains_brenk_flagged,soft_metabolic_liability,zbg_precedent_count,zbg_low_precedent,exceeds_real_precedent,ic50_model_low_confidence,dock_model_low_confidence,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,periphery_touched
CCC(CN)(CC(C(O)OC)n1cccc(O)c1=S)c1ccnc(N2CCOCC2)c1,3-HPT,32,1,6.436848464094853,365.72237878365013,Tier 3 (300-500 nM),-7.135646520690842,4.319671118650664,2.3818065772197805,448.5890000000002,2.3574899999999994,3,8,106.0,9,True,False,28,False,True,True,True,5.68688678835903,6.142706201270905,0.7499616757358227,0.2941422628239474,-6.590239741866684,-6.3725213819866395,0.5454067788241579,True
CC(C)COCC(CO)C(OCC1C(=O)NC(=O)NC1=O)c1ccoc1,Acylurea,24,2,6.90328977649745,124.94250918269185,Tier 1 (<150 nM),-7.334062608624728,4.115103149844732,1.473619387703966,368.3860000000001,0.6006000000000006,3,7,127.09999999999998,10,True,True,24,False,True,True,True,6.084649510676422,5.684780293160817,0.8186402658210286,1.218509483336633,-6.378674791400333,-6.538105458663718,0.7959571499610094,False
CCC(OCC(=O)c1ccc(C#N)cc1C(=O)NC(=O)NC1CN2CCC1CC2)OCC(C)C,Acylurea,6,9,6.660542780646016,218.50290704081993,Tier 2 (150-300 nM),-8.108497760345994,4.421496955695281,1.3545369722178733,470.5700000000004,2.6998800000000003,2,7,120.75999999999999,10,True,True,24,False,True,False,True,5.992148234515067,5.88645682725275,0.6683945461309486,0.774085953393266,-6.694235762194666,-6.608071088960264,1.4142619981513276,False
CC(C)COCC1C(=O)NC(=O)NC1=O,Acylurea,36,1,6.472868672468406,336.61334344385295,Tier 3 (300-500 nM),-8.12154783638242,2.7818923495731482,2.416783159665103,214.221,-0.35879999999999995,2,4,84.5,4,True,True,24,False,True,True,True,4.537938359051071,4.9574934797217125,1.9349303134173352,1.5153751927466939,-6.966034635879039,-6.965898700954702,1.155513200503382,False
Cc1ccc(-c2cccc(Cc3cccc(O)c3)c2)c(C(=O)NC(=O)NC2CN3CCC2CC3)c1,Acylurea,30,1,6.393073943234648,404.5070142312174,Tier 3 (300-500 nM),-7.286512936644401,3.6598074163289045,1.8275865245015623,469.5850000000003,4.492020000000003,3,4,81.67,5,False,True,24,False,True,False,True,5.941494271817215,6.41452296370013,0.4515796714174334,-0.02144902046548225,-5.700508118651664,-6.262115514879515,1.0243974217648866,False
O=C(O)CC(Cc1ccccc1OOO)c1csc(N2CCOC(CC(O)F)C2)n1,Carboxylate,7,9,7.044055854375087,90.35332633322163,Tier 1 (<150 nM),-7.479129230521406,4.194138093128945,2.9667850762154258,442.4650000000002,2.6107000000000014,3,9,121.58000000000001,10,True,False,126,False,True,True,True,6.609461521066143,6.34446618218431,0.4345943333089446,0.6995896721907773,-6.1954732413506965,-6.182444581705585,1.2836559891707093,True
CC(C)C1(N)CN(c2nc(C(CC(=O)O)CC(CCl)CC(=O)O)cs2)CCO1,Carboxylate,40,1,6.823681839432885,150.07838948157354,Tier 2 (150-300 nM),-7.0469221107461255,4.440793038728101,1.9775889569911145,433.9580000000002,2.5688000000000004,3,7,125.98000000000002,10,True,False,126,False,False,True,True,5.802124296878193,6.425198850700486,1.0215575425546914,0.3984829887323986,-6.801515863472028,-6.798395603316649,0.2454062472740972,True
COC1COCCN1CC(CC(=O)O)CC(CC(=O)O)c1csc(C)n1,Carboxylate,38,1,6.601622306315666,250.25207874821086,Tier 2 (150-300 nM),-7.644724751042249,4.152168323610071,1.5425764511102062,386.4700000000001,1.7955200000000002,2,7,109.19,10,False,False,126,False,False,True,True,5.971270623828179,6.258887222131067,0.6303516824874871,0.3427350841845991,-6.289941503055944,-6.528925758488597,1.1157989925536516,False
O=C(O)CC(CCl)CC(CC(=O)O)c1csc(CCO)n1,Carboxylate,31,1,6.4343701588794255,367.8153427787443,Tier 3 (300-500 nM),-7.1645267764293,3.8135200136067624,2.028104522080939,335.8090000000001,1.956,3,5,107.72,10,True,False,126,False,False,True,True,5.9865503629128005,6.007638419817304,0.447819795966625,0.4267317390621219,-6.8311624689004,-6.7628095543741455,0.3333643075288997,False
CCOc1cc(C2CCN3C(=S)Sc4ccc(C#N)cc4C3=N2)c(CC#N)c(C#N)n1,Cyclic-thione,19,1,6.896594409201567,126.88362882068708,Tier 1 (<150 nM),-7.45775305871524,4.070542089207072,1.4774010479880766,444.54500000000024,3.8739400000000037,0,8,109.08999999999999,4,True,False,51,False,False,False,True,5.03490870607793,6.500644031198669,1.8616857031236371,0.39595037800289834,-6.911072514409051,-6.40520984873809,0.5466805443061888,True
Cc1ccc2c(c1-c1cccc(N3CCOCC3)c1)C1=NC(O)CC(CCO)N1C(=S)S2,Cyclic-thione,5,9,6.7846378988811065,164.1958215904141,Tier 2 (150-300 nM),-7.047367614311728,3.947492677024499,1.9510378451497463,469.6320000000002,3.410920000000002,2,7,68.53,4,True,False,51,False,False,True,True,5.0111427653320115,6.261140994827652,1.773495133549095,0.5234969040534541,-6.442632526423357,-5.959209660558662,0.604735087888371,False
CC(CO)C1CC(N)N=C2c3c(ccc(CO)c3-c3cccc(CO)c3)SC(=S)N21,Cyclic-thione,9,4,6.7018121710532705,198.6954073559824,Tier 2 (150-300 nM),-8.91654916826292,4.40269830644504,1.2777963101753895,443.5940000000001,2.4629000000000003,4,7,102.31,5,True,False,51,False,False,True,True,5.942260594777212,6.205759816024078,0.759551576276059,0.4960523550291924,-6.42879010263382,-6.780150587466844,2.136398580796076,False
NC1CC(O)N2C(=S)Sc3ccc(CO)c(-c4cc(CCCO)ccc4F)c3C2=N1,Cyclic-thione,2,16,6.668314674739132,214.6274794226329,Tier 2 (150-300 nM),-9.20991858815502,4.190104561251131,1.1620527599265782,447.5570000000003,2.3560000000000008,4,7,102.31,5,True,False,51,False,False,True,True,5.661193951891092,6.4172618731422855,1.0071207228480397,0.2510528015968463,-6.28196483387102,-6.635108295045317,2.574810293109703,False
CNC(C(=O)NCC1CCN(C(C)C#N)C(F)C1)c1ccc(/C=C/C(=O)Nc2ccccc2N)cc1,Ortho-aminoanilide,4,11,6.865836200126005,136.19582660746622,Tier 1 (<150 nM),-7.32088590242473,4.084775592237774,5.7213132646251035,492.59900000000016,3.21708,4,6,123.27999999999999,9,True,False,281,False,True,False,True,6.115545666280422,6.2919809084215474,0.7502905338455834,0.5738552917044579,-6.047509016739911,-6.324762422982142,0.9961234794425877,False
