SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,periphery_touched,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
Cc1c(-c2[nH]c(=S)[nH]c2F)cc(C(=O)CC(N)=O)nc1C(CBr)C1CC1,7.018168220594426,95.90290870949919,Tier 1 (<150 nM),-8.31850464988731,Cyclic-thione,True,False,4.253773879064338,441.32600000000014,3.528410000000001,3,4,104.63000000000001,7,1.2580448158152429,5.51444989938128,5.748552543520775,1.503718321213146,1.2696156770736504,-6.834551614224295,-6.808011927806239,1.4839530356630144,True,False,0.21875,0.23255813953488372,True,True,51,False,7.2441251443275085,False,0,16
Cc1ccc(CC(c2nc(C(=O)CC(N)=O)cc(-c3[nH]c(=S)[nH]c3F)c2C)C2CC2)c(C)c1,6.978904766339605,104.97726013371681,Tier 1 (<150 nM),-8.279337494525413,Cyclic-thione,True,False,3.950374885548248,466.58200000000016,4.993050000000003,3,4,104.63,8,1.4562066728396719,5.424282810403518,5.8313481270866045,1.5546219559360868,1.1475566392530006,-5.823872703249644,-6.5569592464499955,1.722378248075417,True,False,0.22988505747126436,0.25287356321839083,True,True,51,False,7.2441251443275085,False,0,16
Cc1cccc(C)c1CC(c1nc(C(=O)CC(N)=O)cc(-c2[nH]c(=S)[nH]c2F)c1C)C1CC1,6.974814481359283,105.97063058513385,Tier 1 (<150 nM),-7.824422590719628,Cyclic-thione,True,False,3.9958871932405557,466.5820000000002,4.993050000000004,3,4,104.63,8,1.3752278284240638,5.366246611460549,5.782794929208302,1.6085678698987342,1.192019552150981,-5.507294028882126,-6.535342534577794,1.2890800561418345,True,False,0.24,0.24489795918367346,True,True,51,False,7.2441251443275085,False,0,16
CNC(=O)c1cc(C(=O)O)cc(C(C)(C)C)c1Cn1sc2c(N3CCNCC3)cccc2c1=O,6.949137268566979,112.42495733673914,Tier 1 (<150 nM),-7.110162797215596,Carboxylate,False,False,3.105520535958205,482.6060000000003,2.8762000000000016,3,6,103.67000000000002,5,1.4497824053974586,6.0210700132815305,6.218996285256594,0.9280672552854483,0.7301409833103847,-5.509371709664945,-6.954924445628309,0.15523835158728705,False,False,0.3333333333333333,0.2839506172839506,True,True,126,False,6.97061622231479,False,1,9
Cc1ccccc1CC(c1nc(C(=O)CC(N)=O)cc(-c2[nH]c(=S)[nH]c2F)c1C)C1CC1,6.947965046342355,112.72881809283757,Tier 1 (<150 nM),-8.080405634050024,Cyclic-thione,True,False,3.9016630650635484,452.5550000000002,4.684630000000003,3,4,104.63,8,1.4060907925223114,5.424282810403518,5.7889644458350435,1.5236822359388364,1.1590006005073112,-5.5359754719767,-6.670737984457117,1.4096676495929072,True,False,0.2376237623762376,0.27722772277227725,True,True,51,False,7.2441251443275085,False,0,16
Cc1c(-c2[nH]c(=S)[nH]c2F)cc(C(=O)CC(N)=O)nc1C(Cc1ccccc1)C1CC1Cl,6.8900507568418785,128.80990002569825,Tier 1 (<150 nM),-7.356046454265112,Cyclic-thione,True,False,4.452599003115774,472.9730000000002,4.593510000000003,3,4,104.63000000000001,8,1.1891754015147857,5.469800821906986,5.574210675087003,1.4202499349348923,1.3158400817548754,-5.412697185380482,-6.401645917218373,0.9544005370467392,True,False,0.2619047619047619,0.26136363636363635,True,True,51,False,7.2441251443275085,False,0,16
CNC(=O)CC(=O)c1ncc(CC2(Br)CC2)c(-c2[nH]c(=S)[nH]c2F)c1Cl,6.8789035904893465,132.1588982619713,Tier 1 (<150 nM),-7.686077627077971,Cyclic-thione,True,False,3.910630588364759,461.74400000000014,3.7155900000000015,3,4,90.63999999999999,6,1.7116641690228505,6.246871843900252,6.161446185601382,0.6320317465890941,0.7174574048879645,-6.472040976181646,-6.3216321504306014,1.2140366508963245,False,False,0.21875,0.24358974358974358,True,True,51,False,7.2441251443275085,False,5,3
CCOc1cc(-c2[nH]c(=S)[nH]c2C(C#N)C(c2ccncc2)C2CC2)c(C(=O)NC)cn1,6.848215260506942,141.83543321172695,Tier 1 (<150 nM),-7.068549263875884,Cyclic-thione,True,False,4.179261941238547,448.5520000000002,4.0885700000000025,3,6,119.48,8,1.2204801386790687,6.4073520387151595,5.507286709675188,0.4408632217917825,1.3409285508317543,-6.681496907352015,-6.986808257956155,0.08174100591972877,False,True,0.2543859649122807,0.26436781609195403,True,True,51,False,7.2441251443275085,False,10,1
Cc1c(-c2[nH]c(=S)[nH]c2F)cc(C(=O)CC(N)=O)nc1C(C1CC1)C(F)c1ccccc1,6.799313104724899,158.7401898126855,Tier 2 (150-300 nM),-8.096430998883951,Cyclic-thione,True,False,4.299907255923861,456.51800000000014,4.844310000000003,3,4,104.63000000000001,8,1.1822481810575505,5.208406665614131,6.675626524549764,1.5909064391107677,0.12368658017513479,-5.890029683249676,-6.704994104529921,1.3914368943540305,False,False,0.26804123711340205,0.25510204081632654,True,True,51,False,7.2441251443275085,False,0,16
CCc1ccc(CC(c2nc(C(=O)CC(N)=O)cc(-c3[nH]c(=S)[nH]c3F)c2C)C2CC2)cc1,6.798641681142372,158.98579352674855,Tier 2 (150-300 nM),-7.732462032930115,Cyclic-thione,True,False,3.8552993149649852,466.5820000000001,4.938610000000003,3,4,104.63,9,1.3580140603447284,5.351079576409544,5.575992388719011,1.4475621047328282,1.2226492924233607,-5.443124491188615,-6.488699270825461,1.2437627621046534,True,False,0.25252525252525254,0.2631578947368421,True,True,51,False,7.2441251443275085,False,0,16
