canonical_smiles,pIC50,n_measurements
Br.CC(C)(C)c1ccc(CNCCCCNCCCNC(=O)CCCCC(=O)NO)cc1,4.599634726650061,1
Br.CC(C)(C)c1ccc(CNCCCCNCCCNC(=O)CCCCC(=O)O)cc1,4.006475596832934,1
Br.CC(C)(C)c1ccc(CNCCCCNCCCNC(=O)CCCCCCC(=O)NO)cc1,4.2955063029907015,1
Br.CN(C)c1ccc(CN(CCCNCCCCN)C(=O)CCCCC(=O)NO)cc1,4.397831448621003,1
Br.CS(=O)(=O)SCCN,3.703334809738469,1
Br.O=C(CCCCC(=O)NCCCNCCCCNCCC(c1ccccc1)c1ccccc1)NO,4.09555495892309,1
Br.O=C(CCCCC(=O)NCCCNCCCNCCCNCCCNCC1CCCCCC1)NO,4.229368872222193,1
Br.O=C(CCCCCCC(=O)NCCCNCCCCNCCC(c1ccccc1)c1ccccc1)NO,4.582528306796707,1
Br.O=C(NO)c1ccc(Cn2cc(CN[C@@H]3C[C@H]3c3ccccc3)cn2)cc1,7.008773924307505,1
Brc1cncs1,5.251811972993799,1
C#CCC(CCCCCC(=O)Nc1ccccc1)C(=O)NO,4.060480747381382,1
C#CCCCn1c(Sc2cccc(OCC(=O)NO)c2)nc2c(N)ncnc21,7.0,1
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl,5.7495799976911055,1
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl,7.301029995663981,1
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl,5.950781977329818,1
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl,5.605548319173783,1
C#CCN(C)CCCOc1cc(NCc2ccc(/C=C/C(=O)NO)cc2)ccc1Cl,7.096910013008056,1
C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl,5.931814138253838,1
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl,6.481486060122112,1
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl,5.8326826652518236,1
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,6.6777807052660805,1
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCNC(=O)c2ccc(C(=O)NO)cc2)cc1,7.221740203130241,2
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCc2ccc(C(=O)NO)cc2)cc1,7.822322138302646,2
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NO)cc1,6.307095828349377,2
C#CCOc1ccc(/C=N/NC(=O)CCCCCCC(=O)NO)cc1,6.537602002101044,1
C#CCOc1ccc(/C=N/NC(=O)c2cccc(C(=O)NO)c2)cc1,7.537602002101044,2
C#CCOc1ccc(C=NNC(=O)CCCCCCC(=O)NO)cc1,6.537602002101044,1
C#Cc1c[n+](C)ccc1NC(=O)CC(=O)N1Cc2ccccc2C1,4.761526248912963,2
C#Cc1c[n+](C)ccc1NC(=O)CC(=O)N1Cc2ccccc2C1.[I-],4.761526248912963,2
C#Cc1c[n+](C)ccc1NC(=O)N1Cc2ccccc2C1,3.991399828238082,1
C#Cc1c[n+](C)ccc1NC(=O)N1Cc2ccccc2C1.[I-],3.991399828238082,1
C#Cc1c[n+](C)ccn1,4.418049504272085,10
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,8.468521082957745,2
C#Cc1cc[n+](C)cc1,5.075373783377279,11
C#Cc1ccc(C(=O)NO)s1,6.0,1
C#Cc1ccc[n+](C)c1,5.086186147616283,1
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)c(OC)cc2O)c1,5.730487055782083,1
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2O)c1,5.388276691992658,1
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2OC)c1,6.251811972993799,1
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCCC(=O)NO)ccc2O)c1,5.692503962086787,1
C#Cc1cccc(NC(=O)c2cc(OCCCCCCC(=O)NO)ccc2O)c1,5.917214629683549,1
C#Cc1cccc(NC(=O)c2cccc(NC(=O)CCCCCC(=O)NO)c2)c1,5.485452247339714,1
C#Cc1cccc(Nc2ncnc3cc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)cc4)ccc23)c1,6.403437700822769,2
C#Cc1cccc(Nc2ncnc3cc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)nc4)ccc23)c1,6.292429823902063,1
C#Cc1cccc(Nc2ncnc3cc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)s4)ccc23)c1,6.42021640338319,1
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)CCCC(=O)NO)cc23)c1,7.0,1
